year,county,wage
1823,16,0.5
1824,16,0.56
1825,16,0.62
1826,16,0.62
1827,16,0.62
1828,16,0.62
1829,16,0.62
1830,16,0.62
1831,16,0.67
1832,16,0.65
1833,16,0.67
1834,16,0.67
1835,16,0.67
1836,16,0.67
1837,16,0.57
1838,16,0.67
1839,16,0.67
1840,16,0.67
1841,16,0.67
1842,16,0.67
1843,16,0.67
1844,16,0.62
1845,16,0.67
1846,16,0.67
1847,16,0.67
1848,16,0.67
1849,16,0.67
1850,16,0.67
1851,16,0.67
1852,16,0.67
1853,16,0.67
1854,16,0.75
1855,16,1
1856,16,1.25
1857,16,1.25
1858,16,1
1859,16,1
1860,16,1.25
1861,16,1.25
1862,16,1.25
1863,16,1.25
1864,16,1.25
1865,16,1.25
1866,16,1.25
1867,16,1
1868,16,0.9
1869,16,0.9
1870,16,0.9
1871,16,0.9
1872,16,1.14
1873,16,1.5
1874,16,1.5
1875,16,1.5
1876,16,1.5
1877,16,1.5
1878,16,1.25
1879,16,1.06
1880,16,1.06
1881,16,1.1
1882,16,1.13
1883,16,1.14
1884,16,1.14
1885,16,1.2
1886,16,1.18
1887,16,1.12
1888,16,1.14
1889,16,1.17
1890,16,1.24
1891,16,1.25
1892,16,1.26
1893,16,1.25
1894,16,1.28
1895,16,1.27
1896,16,1.3
1897,16,1.36
1898,16,1.5
1899,16,1.65
1900,16,1.75
1901,16,1.75
1902,16,1.81
1903,16,1.8
1904,16,1.77
1905,16,1.75
1906,16,1.8
1907,16,2.03
1908,16,2.15
1909,16,2.25
1910,16,2.21
1911,16,2.19
1912,16,2.32
1913,16,2.31
1914,16,2.29
1803,17,0.25
1804,17,0.26
1805,17,0.26
1806,17,0.26
1807,17,0.26
1808,17,0.27
1809,17,0.33
1810,17,0.31
1811,17,0.37
1812,17,0.44
1813,17,0.62
1814,17,0.5
1815,17,0.5
1816,17,0.5
1817,17,0.54
1818,17,0.5
1819,17,0.5
1820,17,0.44
1821,17,0.5
1822,17,0.56
1823,17,0.67
1824,17,0.67
1825,17,0.75
1826,17,0.67
1827,17,0.645
1828,17,0.58
1829,17,0.59
1830,17,0.655
1831,17,0.655
1832,17,0.655
1833,17,0.655
1834,17,0.655
1835,17,0.655
1836,17,0.655
1837,17,0.655
1838,17,0.655
1839,17,0.655
1840,17,0.68
1841,17,0.655
1842,17,0.655
1843,17,0.62
1844,17,0.62
1845,17,0.62
1846,17,0.62
1847,17,0.62
1848,17,0.62
1849,17,0.62
1850,17,0.62
1851,17,0.62
1852,17,0.62
1853,17,0.62
1854,17,0.62
1855,17,0.83
1856,17,1
1857,17,1
1858,17,0.9
1859,17,0.85
1860,17,0.85
1861,17,0.9
1862,17,0.9
1863,17,0.92
1864,17,0.92
1865,17,0.92
1866,17,0.92
1867,17,0.85
1868,17,0.85
1869,17,0.85
1870,17,0.85
1871,17,0.9
1872,17,1.125
1873,17,1.5
1874,17,1.35
1875,17,1.35
1876,17,1.3
1877,17,1.2
1878,17,1
1879,17,0.9
1880,17,0.9
1881,17,0.9
1882,17,0.9
1883,17,0.9
1884,17,0.9
1885,17,0.9
1886,17,0.85
1887,17,0.85
1888,17,0.95
1889,17,1
1890,17,1.04
1891,17,1.19
1892,17,1.12
1893,17,1.17
1894,17,1.2
1895,17,1.2
1896,17,1.18
1897,17,1.28
1898,17,1.31
1899,17,1.69
1900,17,1.7
1901,17,1.51
1902,17,1.51
1903,17,1.64
1904,17,1.64
1905,17,1.64
1906,17,1.91
1907,17,2.4
1908,17,2.4
1909,17,2.3
1910,17,2.34
1911,17,2.42
1912,17,2.49
1913,17,2.49
1914,17,2.5
1803,18,0.25
1804,18,0.29
1805,18,0.29
1806,18,0.33
1807,18,0.35
1808,18,0.37
1809,18,0.5
1810,18,0.5
1811,18,0.5
1812,18,0.58
1813,18,0.62
1814,18,0.69
1815,18,0.69
1816,18,0.67
1817,18,0.69
1818,18,0.69
1819,18,0.62
1820,18,0.56
1821,18,0.58
1822,18,0.6
1823,18,0.6
1824,18,0.6
1825,18,0.67
1826,18,0.67
1827,18,0.67
1828,18,0.71
1829,18,0.69
1830,18,0.69
1831,18,0.69
1832,18,0.73
1833,18,0.73
1834,18,0.73
1835,18,0.73
1836,18,0.71
1837,18,0.71
1838,18,0.71
1839,18,0.71
1840,18,0.71
1841,18,0.71
1842,18,0.71
1843,18,0.71
1844,18,0.67
1845,18,0.65
1846,18,0.65
1847,18,0.67
1848,18,0.67
1849,18,0.67
1850,18,0.67
1851,18,0.67
1852,18,0.67
1853,18,0.67
1854,18,0.67
1855,18,0.83
1856,18,1
1857,18,1.12
1858,18,1.06
1859,18,1.06
1860,18,1.06
1861,18,1.06
1862,18,1.06
1863,18,1.1
1864,18,1.1
1865,18,1.1
1866,18,1.1
1867,18,1
1868,18,0.92
1869,18,0.9
1870,18,0.94
1871,18,1.02
1872,18,1.28
1873,18,1.58
1874,18,1.64
1875,18,1.64
1876,18,1.66
1877,18,1.56
1878,18,1.39
1879,18,1.29
1880,18,1.29
1881,18,1.31
1882,18,1.46
1883,18,1.45
1884,18,1.59
1885,18,1.59
1886,18,1.5
1887,18,1.23
1888,18,1.4
1889,18,1.37
1890,18,1.49
1891,18,1.52
1892,18,1.67
1893,18,1.67
1894,18,1.69
1895,18,1.63
1896,18,1.66
1897,18,1.84
1898,18,2.09
1899,18,2.42
1900,18,2.39
1901,18,2.12
1902,18,1.93
1903,18,1.79
1904,18,1.96
1905,18,2
1906,18,2.11
1907,18,2.46
1908,18,2.54
1909,18,2.57
1910,18,2.61
1911,18,2.57
1912,18,2.65
1913,18,2.67
1914,18,2.61
1803,19,0.25
1804,19,0.29
1805,19,0.31
1806,19,0.35
1807,19,0.35
1808,19,0.37
1809,19,0.44
1810,19,0.44
1811,19,0.5
1812,19,0.54
1813,19,0.54
1814,19,0.62
1815,19,0.62
1816,19,0.73
1817,19,0.75
1818,19,0.77
1819,19,0.77
1820,19,0.77
1821,19,0.79
1822,19,0.79
1823,19,0.79
1824,19,0.79
1825,19,0.79
1826,19,0.79
1827,19,0.79
1828,19,0.75
1829,19,0.79
1830,19,0.79
1831,19,0.79
1832,19,0.79
1833,19,0.79
1834,19,0.79
1835,19,0.79
1836,19,0.79
1837,19,0.79
1838,19,0.79
1839,19,0.79
1840,19,0.79
1841,19,0.79
1842,19,0.79
1843,19,0.79
1844,19,0.79
1845,19,0.79
1846,19,0.79
1847,19,0.79
1848,19,0.79
1849,19,0.79
1850,19,0.79
1851,19,0.79
1852,19,0.79
1853,19,0.79
1854,19,0.79
1855,19,0.87
1856,19,1.12
1857,19,1.25
1858,19,1
1859,19,1
1860,19,1
1861,19,1.05
1862,19,1.06
1863,19,1.12
1864,19,1.12
1865,19,1.16
1866,19,1.15
1867,19,1
1868,19,0.92
1869,19,0.95
1870,19,1
1871,19,1.06
1872,19,1.46
1873,19,1.92
1874,19,1.92
1875,19,1.75
1876,19,1.6
1877,19,1.5
1878,19,1.3
1879,19,1.18
1880,19,1.19
1881,19,1.21
1882,19,1.3
1883,19,1.35
1884,19,1.34
1885,19,1.34
1886,19,1.31
1887,19,1.26
1888,19,1.31
1889,19,1.36
1890,19,1.57
1891,19,1.57
1892,19,1.53
1893,19,1.54
1894,19,1.54
1895,19,1.54
1896,19,1.57
1897,19,1.68
1898,19,1.88
1899,19,2.04
1900,19,2.21
1901,19,2.04
1902,19,1.93
1903,19,1.96
1904,19,2
1905,19,2.06
1906,19,2.31
1907,19,2.43
1908,19,2.5
1909,19,2.56
1910,19,2.62
1911,19,2.65
1912,19,2.8
1913,19,2.88
1914,19,2.91
1803,20A,0.33
1804,20A,0.33
1805,20A,0.33
1806,20A,0.33
1807,20A,0.33
1808,20A,0.4
1809,20A,0.44
1810,20A,0.5
1811,20A,0.5
1812,20A,0.62
1813,20A,0.62
1814,20A,0.62
1815,20A,0.62
1816,20A,0.67
1817,20A,0.67
1818,20A,0.67
1819,20A,0.67
1820,20A,0.67
1821,20A,0.67
1822,20A,0.67
1823,20A,0.67
1824,20A,0.67
1825,20A,0.67
1826,20A,0.71
1827,20A,0.71
1828,20A,0.75
1829,20A,0.75
1830,20A,0.71
1831,20A,0.71
1832,20A,0.75
1833,20A,0.75
1834,20A,0.75
1835,20A,0.75
1836,20A,0.75
1837,20A,0.75
1838,20A,0.75
1839,20A,0.75
1840,20A,0.75
1841,20A,0.75
1842,20A,0.83
1843,20A,0.83
1844,20A,0.83
1845,20A,0.83
1846,20A,0.83
1847,20A,0.83
1848,20A,0.83
1849,20A,0.83
1850,20A,0.83
1851,20A,0.87
1852,20A,0.87
1853,20A,0.87
1854,20A,0.87
1855,20A,1
1856,20A,1.12
1857,20A,1.12
1858,20A,0.9
1859,20A,0.9
1860,20A,1
1861,20A,1
1862,20A,1
1863,20A,1.25
1864,20A,1.25
1865,20A,1.3
1866,20A,1
1867,20A,0.8
1868,20A,1
1869,20A,1
1870,20A,1
1871,20A,1
1872,20A,1.5
1873,20A,2
1874,20A,2
1875,20A,2
1876,20A,2
1877,20A,2
1878,20A,1.37
1879,20A,1.37
1880,20A,1.37
1881,20A,1.37
1882,20A,1.15
1883,20A,1.2
1884,20A,1.22
1885,20A,1.22
1886,20A,1.17
1887,20A,1.17
1888,20A,1.3
1889,20A,1.42
1890,20A,1.57
1891,20A,1.6
1892,20A,1.55
1893,20A,1.37
1894,20A,1.38
1895,20A,1.38
1896,20A,1.37
1897,20A,1.37
1898,20A,1.62
1899,20A,1.87
1900,20A,2
1901,20A,2
1902,20A,1.95
1903,20A,2
1904,20A,2
1905,20A,2
1906,20A,2.12
1907,20A,2.5
1908,20A,2.75
1909,20A,2.62
1910,20A,2.75
1911,20A,2.87
1912,20A,2.95
1913,20A,2.93
1914,20A,2.92
1803,20B,0.25
1804,20B,0.29
1805,20B,0.31
1806,20B,0.31
1807,20B,0.31
1808,20B,0.37
1809,20B,0.4
1810,20B,0.44
1811,20B,0.5
1812,20B,0.56
1813,20B,0.62
1814,20B,0.62
1815,20B,0.62
1816,20B,0.62
1817,20B,0.62
1818,20B,0.62
1819,20B,0.67
1820,20B,0.67
1821,20B,0.67
1822,20B,0.67
1823,20B,0.67
1824,20B,0.67
1825,20B,0.67
1826,20B,0.75
1827,20B,0.77
1828,20B,0.81
1829,20B,0.81
1830,20B,0.81
1831,20B,0.81
1832,20B,0.81
1833,20B,0.81
1834,20B,0.81
1835,20B,0.81
1836,20B,0.79
1837,20B,0.79
1838,20B,0.75
1839,20B,0.75
1840,20B,0.75
1841,20B,0.75
1842,20B,0.83
1843,20B,0.83
1844,20B,0.83
1845,20B,0.83
1846,20B,0.83
1847,20B,0.83
1848,20B,0.83
1849,20B,0.83
1850,20B,0.85
1851,20B,0.87
1852,20B,0.87
1853,20B,0.87
1854,20B,0.87
1855,20B,1
1856,20B,1.12
1857,20B,1.25
1858,20B,1
1859,20B,1
1860,20B,1.2
1861,20B,1.25
1862,20B,1.25
1863,20B,1.5
1864,20B,1.5
1865,20B,1.4
1866,20B,1.4
1867,20B,1
1868,20B,1
1869,20B,1
1870,20B,1
1871,20B,1
1872,20B,1.5
1873,20B,2
1874,20B,2
1875,20B,2
1876,20B,2
1877,20B,2
1878,20B,1.5
1879,20B,1.5
1880,20B,1.5
1881,20B,1.6
1882,20B,1.7
1883,20B,1.77
1884,20B,1.77
1885,20B,1.75
1886,20B,1.7
1887,20B,1.55
1888,20B,1.51
1889,20B,1.6
1890,20B,1.6
1891,20B,1.67
1892,20B,1.67
1893,20B,1.67
1894,20B,1.69
1895,20B,1.69
1896,20B,1.69
1897,20B,1.74
1898,20B,2.02
1899,20B,2.15
1900,20B,2.35
1901,20B,2.2
1902,20B,2.2
1903,20B,2.1
1904,20B,2.1
1905,20B,2.2
1906,20B,2.35
1907,20B,2.69
1908,20B,2.86
1909,20B,2.96
1910,20B,2.9
1911,20B,2.85
1912,20B,2.85
1913,20B,2.9
1914,20B,2.93
1803,21,0.25
1804,21,0.31
1805,21,0.33
1806,21,0.33
1807,21,0.33
1808,21,0.37
1809,21,0.5
1810,21,0.56
1811,21,0.62
1812,21,0.62
1813,21,0.62
1814,21,0.62
1815,21,0.62
1816,21,0.67
1817,21,0.67
1818,21,0.67
1819,21,0.67
1820,21,0.67
1821,21,0.67
1822,21,0.67
1823,21,0.75
1824,21,0.75
1825,21,0.75
1826,21,0.75
1827,21,0.75
1828,21,0.75
1829,21,0.75
1830,21,0.75
1831,21,0.75
1832,21,0.75
1833,21,0.75
1834,21,0.75
1835,21,0.75
1836,21,0.75
1837,21,0.75
1838,21,0.75
1839,21,0.75
1840,21,0.75
1841,21,0.75
1842,21,0.87
1843,21,0.94
1844,21,0.94
1845,21,0.94
1846,21,1
1847,21,1
1848,21,1
1849,21,1
1850,21,0.94
1851,21,0.94
1852,21,0.94
1853,21,1
1854,21,1.19
1855,21,1.5
1856,21,1.5
1857,21,1.5
1858,21,1.25
1859,21,1.25
1860,21,1.25
1861,21,1.32
1862,21,1.32
1863,21,1.5
1864,21,1.5
1865,21,1.5
1866,21,1.5
1867,21,1.25
1868,21,1.15
1869,21,1.2
1870,21,1.2
1871,21,1.25
1872,21,1.6
1873,21,2
1874,21,2.42
1875,21,2.29
1876,21,2.27
1877,21,2.25
1878,21,1.75
1879,21,1.6
1880,21,1.7
1881,21,1.7
1882,21,1.7
1883,21,1.75
1884,21,1.75
1885,21,1.65
1886,21,1.6
1887,21,1.55
1888,21,1.65
1889,21,1.7
1890,21,1.7
1891,21,1.7
1892,21,1.65
1893,21,1.6
1894,21,1.6
1895,21,1.65
1896,21,1.75
1897,21,1.67
1898,21,1.86
1899,21,2.26
1900,21,2.45
1901,21,2.21
1902,21,2.12
1903,21,2.19
1904,21,2.22
1905,21,2.25
1906,21,2.36
1907,21,2.48
1908,21,2.53
1909,21,2.58
1910,21,2.61
1911,21,2.64
1912,21,2.82
1913,21,2.86
1914,21,2.87
1803,22A,NA
1804,22A,NA
1805,22A,NA
1806,22A,NA
1807,22A,NA
1808,22A,NA
1809,22A,NA
1810,22A,NA
1811,22A,NA
1812,22A,NA
1813,22A,0.83
1814,22A,0.87
1815,22A,0.81
1816,22A,0.81
1817,22A,0.83
1818,22A,1
1819,22A,1
1820,22A,1
1821,22A,1
1822,22A,1
1823,22A,1
1824,22A,1
1825,22A,1
1826,22A,1
1827,22A,1
1828,22A,1
1829,22A,1
1830,22A,1
1831,22A,1.12
1832,22A,1.12
1833,22A,1
1834,22A,1
1835,22A,1
1836,22A,1
1837,22A,1
1838,22A,1
1839,22A,1
1840,22A,1
1841,22A,1
1842,22A,1
1843,22A,1
1844,22A,1
1845,22A,1
1846,22A,0.87
1847,22A,1
1848,22A,1
1849,22A,1
1850,22A,1
1851,22A,1
1852,22A,1
1853,22A,1
1854,22A,1.25
1855,22A,1.25
1856,22A,1.25
1857,22A,1.5
1858,22A,1.5
1859,22A,1.5
1860,22A,1.5
1861,22A,1.5
1862,22A,1.5
1863,22A,1.5
1864,22A,1.5
1865,22A,1.5
1866,22A,1.5
1867,22A,1.5
1868,22A,1.5
1869,22A,1.5
1870,22A,1.5
1871,22A,1.75
1872,22A,2.1
1873,22A,2.58
1874,22A,2.75
1875,22A,2.5
1876,22A,2.25
1877,22A,2.5
1878,22A,2.25
1879,22A,2
1880,22A,2
1881,22A,2
1882,22A,2
1883,22A,2.25
1884,22A,2.4
1885,22A,2.4
1886,22A,2
1887,22A,2
1888,22A,2
1889,22A,2
1890,22A,2
1891,22A,2.25
1892,22A,2.25
1893,22A,2.25
1894,22A,2.25
1895,22A,2.25
1896,22A,2.44
1897,22A,2.5
1898,22A,2.5
1899,22A,2.75
1900,22A,3
1901,22A,3
1902,22A,2.5
1903,22A,2.5
1904,22A,2.5
1905,22A,2.75
1906,22A,3
1907,22A,3.5
1908,22A,3
1909,22A,3
1910,22A,2.75
1911,22A,3.25
1912,22A,3.25
1913,22A,3.65
1914,22A,3.67
1803,22B,NA
1804,22B,NA
1805,22B,NA
1806,22B,NA
1807,22B,NA
1808,22B,NA
1809,22B,NA
1810,22B,NA
1811,22B,NA
1812,22B,NA
1813,22B,1
1814,22B,0.94
1815,22B,0.94
1816,22B,1
1817,22B,1
1818,22B,1
1819,22B,1
1820,22B,1
1821,22B,1
1822,22B,1
1823,22B,1
1824,22B,1
1825,22B,1
1826,22B,1
1827,22B,1
1828,22B,1
1829,22B,1
1830,22B,1
1831,22B,1.25
1832,22B,1.12
1833,22B,1
1834,22B,1
1835,22B,1
1836,22B,1
1837,22B,1
1838,22B,1
1839,22B,1
1840,22B,1
1841,22B,1
1842,22B,1
1843,22B,1
1844,22B,1
1845,22B,1.12
1846,22B,0.87
1847,22B,1
1848,22B,1
1849,22B,1
1850,22B,1
1851,22B,1
1852,22B,1
1853,22B,1
1854,22B,1.25
1855,22B,1.37
1856,22B,1.5
1857,22B,1.67
1858,22B,1.6
1859,22B,1.6
1860,22B,1.75
1861,22B,1.75
1862,22B,1.75
1863,22B,1.67
1864,22B,1.83
1865,22B,1.6
1866,22B,1.5
1867,22B,1.5
1868,22B,1.42
1869,22B,1.58
1870,22B,1.58
1871,22B,1.87
1872,22B,2.1
1873,22B,2.58
1874,22B,2.77
1875,22B,2.5
1876,22B,2.5
1877,22B,2.67
1878,22B,2.67
1879,22B,2.33
1880,22B,2.33
1881,22B,2.33
1882,22B,2.44
1883,22B,2.42
1884,22B,2.41
1885,22B,2.35
1886,22B,2.31
1887,22B,2.16
1888,22B,2.13
1889,22B,2.19
1890,22B,2.31
1891,22B,2.37
1892,22B,2.44
1893,22B,2.44
1894,22B,2.44
1895,22B,2.44
1896,22B,2.44
1897,22B,2.49
1898,22B,2.81
1899,22B,2.94
1900,22B,3
1901,22B,3
1902,22B,2.87
1903,22B,2.94
1904,22B,2.94
1905,22B,3
1906,22B,3.08
1907,22B,3.17
1908,22B,3.6
1909,22B,3.44
1910,22B,2.71
1911,22B,3.44
1912,22B,3.46
1913,22B,3.85
1914,22B,3.83
1803,23,0.25
1804,23,0.27
1805,23,0.31
1806,23,0.31
1807,23,0.33
1808,23,0.37
1809,23,0.48
1810,23,0.58
1811,23,0.62
1812,23,1.31
1813,23,0.75
1814,23,0.67
1815,23,0.75
1816,23,0.75
1817,23,0.75
1818,23,0.75
1819,23,0.75
1820,23,0.75
1821,23,0.75
1822,23,0.75
1823,23,0.75
1824,23,0.75
1825,23,0.75
1826,23,0.75
1827,23,0.75
1828,23,0.75
1829,23,0.75
1830,23,0.75
1831,23,0.75
1832,23,0.94
1833,23,1
1834,23,1
1835,23,1
1836,23,1
1837,23,1
1838,23,1
1839,23,1
1840,23,1
1841,23,1
1842,23,1
1843,23,1
1844,23,1
1845,23,1
1846,23,1
1847,23,1.12
1848,23,1.25
1849,23,1.25
1850,23,1.25
1851,23,1.25
1852,23,1.25
1853,23,1.25
1854,23,1.25
1855,23,1.5
1856,23,1.75
1857,23,1.75
1858,23,1.12
1859,23,1.2
1860,23,1.2
1861,23,1.25
1862,23,1.33
1863,23,1.42
1864,23,1.42
1865,23,1.36
1866,23,1.25
1867,23,1.08
1868,23,1.12
1869,23,1.21
1870,23,1.25
1871,23,1.33
1872,23,1.42
1873,23,1.75
1874,23,2.08
1875,23,2
1876,23,2
1877,23,2
1878,23,1.71
1879,23,1.54
1880,23,1.25
1881,23,1.56
1882,23,1.81
1883,23,1.81
1884,23,1.82
1885,23,1.7
1886,23,1.6
1887,23,1.6
1888,23,1.64
1889,23,1.66
1890,23,1.65
1891,23,1.65
1892,23,1.65
1893,23,1.65
1894,23,1.69
1895,23,1.69
1896,23,1.62
1897,23,1.62
1898,23,2
1899,23,2.31
1900,23,2.37
1901,23,2.12
1902,23,2.12
1903,23,2.25
1904,23,2.25
1905,23,2.25
1906,23,2.37
1907,23,2.44
1908,23,2.37
1909,23,2.37
1910,23,2.5
1911,23,2.75
1912,23,2.99
1913,23,3.13
1914,23,3.08
1803,24,NA
1804,24,NA
1805,24,NA
1806,24,NA
1807,24,NA
1808,24,NA
1809,24,NA
1810,24,NA
1811,24,0.75
1812,24,0.75
1813,24,1
1814,24,1
1815,24,1
1816,24,1
1817,24,1
1818,24,1.12
1819,24,1
1820,24,1
1821,24,1
1822,24,1
1823,24,1
1824,24,1
1825,24,1
1826,24,1
1827,24,1
1828,24,1
1829,24,1
1830,24,1
1831,24,1
1832,24,0.87
1833,24,0.87
1834,24,0.87
1835,24,0.87
1836,24,0.94
1837,24,1
1838,24,1
1839,24,1
1840,24,1
1841,24,1
1842,24,1
1843,24,1
1844,24,1
1845,24,1
1846,24,1
1847,24,1.25
1848,24,1.25
1849,24,1.12
1850,24,1.12
1851,24,1.12
1852,24,1.12
1853,24,1.12
1854,24,1.25
1855,24,1.62
1856,24,1.62
1857,24,1.62
1858,24,1.44
1859,24,1.5
1860,24,1.5
1861,24,1.75
1862,24,1.75
1863,24,2
1864,24,2
1865,24,2
1866,24,1.75
1867,24,1.55
1868,24,1.5
1869,24,1.75
1870,24,1.75
1871,24,2
1872,24,2.25
1873,24,2.75
1874,24,3
1875,24,2.5
1876,24,2.5
1877,24,2.5
1878,24,2
1879,24,1.75
1880,24,1.75
1881,24,1.75
1882,24,2
1883,24,2
1884,24,2
1885,24,2.25
1886,24,2.21
1887,24,2.25
1888,24,2.38
1889,24,2.38
1890,24,2.38
1891,24,2.29
1892,24,2.42
1893,24,2.42
1894,24,2.33
1895,24,2.37
1896,24,3
1897,24,3
1898,24,3.17
1899,24,3.5
1900,24,3.5
1901,24,3.46
1902,24,3.12
1903,24,3.08
1904,24,2.92
1905,24,3
1906,24,3.04
1907,24,3.29
1908,24,3.42
1909,24,3.46
1910,24,3.62
1911,24,3.83
1912,24,3.95
1913,24,4.06
1914,24,4.38
